"keyword_slug","facet","label","definition","parent_slug","aliases","programmer_context","content_editor_context","zotonic_evidence","wikidata_id","wikidata_label","priority","source_url"
"parse","task","Parse","Interpret textual or encoded input as a typed or structured value.","transform","decode|read format","Covers parsing JSON URLs numbers identifiers and external payloads with explicit error handling.","Covers turning entered or imported text into values the site can use.","from_json parse_url and conversion filters","","","supporting","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_base/src/filters"
"serialize","task","Serialize","Encode a value into a transferable or storable textual representation.","transform","encode|write format","Covers JSON encoding escaped output exports and stable representation of structured values.","Covers preparing content data for download exchange or use by another system.","to_json escapejson resource export and API output","","","supporting","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_base/src/filters"
"compare","task","Compare","Test equality ordering membership or another relationship between values.","","test|match|order","Covers equality date ordering membership range and pattern comparisons.","Covers conditions that decide whether content or values match a requested rule.","before after eq_day match member min and max filters","","","supporting","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_base/src/filters"
"import","task","Import","Read external data or media and create or update Zotonic entities.","","ingest|load","Covers source parsing mapping identity matching deduplication and transactions.","Covers bringing pages media users or survey data into a site.","mod_import mod_import_csv mod_import_wordpress","Q59154760","data import","core","https://www.wikidata.org/wiki/Q59154760"
"export","task","Export","Encode Zotonic data or media for download transfer backup or publication elsewhere.","","extract|download|syndicate","Covers formats schemas streaming pagination and authorization.","Covers downloading content responses or reports for reuse.","mod_export mod_survey mod_backup","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_export"
"authenticate","task","Authenticate","Prove an identity using credentials tokens or additional factors.","","sign in|log in","Covers challenge verification sessions token handling and failure policy.","Covers logging in recovering access and using two-factor authentication.","mod_authentication mod_auth2fa mod_oauth2","Q212108","authentication","core","https://www.wikidata.org/wiki/Q212108"
"authorize","task","Authorize","Decide whether an authenticated or anonymous actor may perform an operation.","","check permission|ACL check","Covers ACL callbacks roles content groups policies and denial responses.","Covers deciding who can view edit publish delete or administer content.","m_acl mod_acl_user_groups","Q788590","authorization","core","https://www.wikidata.org/wiki/Q788590"
"send_and_receive","task","Send and receive","Exchange messages requests files or email with another actor or system.","","transmit|deliver|accept","Covers transport protocols payload handling callbacks retries and delivery state.","Covers contact messages notifications inbound email and external data exchange.","email MQTT HTTP and uploader modules","","","supporting","https://github.com/zotonic/zotonic/tree/master/apps"
"publish_and_subscribe","task","Publish and subscribe","Send messages to named topics and receive messages matching subscriptions.","send_and_receive","pubsub|topic messaging","Covers MQTT topics ACL retained state routing and request-response conventions.","Explains live notifications and automatic interface updates.","zotonic_mod_mqtt zotonic_listen_mqtt","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_mqtt"
"schedule","task","Schedule","Arrange for work or a state change to happen at a chosen time or interval.","","defer|cron|periodic","Covers timers cron expressions task queues and scheduled resource dates.","Covers scheduled publication mailings backups and recurring maintenance.","mod_cron mod_mailinglist mod_backup","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_cron"
"monitor","task","Monitor","Observe status behavior progress errors or health over time.","","inspect|observe|track","Covers logs metrics status models events and task progress.","Covers checking delivery site health activity and failures.","mod_logging mod_admin_stats mod_email_status","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_logging"
"migrate","task","Migrate","Move data code files or configuration to a new schema version system or location.","","upgrade|move|port","Covers repeatability compatibility conflict handling and rollback considerations.","Covers moving an existing site or library of content while preserving meaning.","mod_import mod_filestore mod_site_update","","","supporting","https://github.com/zotonic/zotonic/tree/master/apps"
"text","data_type","Text","Human-readable textual data independent of its Erlang string or binary representation.","","string|characters|plain text","Covers trimming case conversion truncation escaping replacement and textual presentation.","Covers titles summaries labels body text and other written values.","trim truncate lower upper replace and escape filters","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_base/src/filters"
"number","data_type","Number","A numeric value used for counting measuring calculating ordering or presentation.","","integer|float|numeric value","Covers arithmetic rounding ranges aggregation and localized number formatting.","Covers quantities prices counts percentages and other numerical fields.","round floor sum range and format_number filters","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_base/src/filters"
"boolean","data_type","Boolean","A true-or-false value used for conditions state and decisions.","","truth value|flag|yes or no","Covers predicates conditional filters feature flags and validation results.","Covers settings and conditions that are enabled disabled accepted or rejected.","is_defined is_visible if and yesno filters","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_base/src/filters"
"date_and_time","data_type","Date and time","A calendar date clock time or combined timestamp.","","datetime|timestamp|calendar value","Covers timezone conversion date arithmetic comparison publication dates and localized display.","Covers publication schedules event dates timestamps and date presentation.","date add_day before in_future and utc filters","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_base/src/filters"
"duration","data_type","Duration","An elapsed or planned amount of time between instants or events.","date_and_time","time span|interval|elapsed time","Covers duration calculation relative time and human-readable interval formatting.","Covers lengths of time such as time since publication or an event duration.","datediff timesince date_range and format_duration filters","","","supporting","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_base/src/filters"
"collection","data_type","Collection","An ordered or grouped set of values processed as one value.","","list|sequence|set of values","Covers iteration grouping sorting slicing membership aggregation and list conversion.","Covers lists of pages menu entries search results choices and other repeated values.","first sort group_by slice member and make_list filters","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_base/src/filters"
"structured_data","data_type","Structured data","A value composed of named fields nested values collections or typed relationships.","","map|object|record|key-value data","Covers maps property lists records decoded payloads and model or API result structures.","Covers content properties imported records configuration and data exchanged with services.","JSON filters model results resource import and export","","","core","https://github.com/zotonic/zotonic/tree/master/apps"
"identifier","data_type","Identifier","A stable name code or key used to distinguish and refer to an entity or concept.","","name|slug|key|code","Covers resource names category names slugs external identifiers and normalization.","Covers stable page names content identifiers language codes and imported keys.","to_name slugify resource identifiers and content-type filters","","","supporting","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_core"
"url","data_type","URL","A textual address that identifies a page resource endpoint or external location.","identifier","URI|web address|link","Covers parsing encoding normalization generation validation and absolute or relative forms.","Covers page links media addresses redirects and external service locations.","url url_abs parse_url urlencode and dispatch filters","Q42253","URL","core","https://www.wikidata.org/wiki/Q42253"
"language_code","data_type","Language code","A standardized identifier for a natural language or locale.","identifier","locale code|ISO language code","Covers language selection direction negotiation sorting and URL language handling.","Covers selecting translations and determining how localized content is displayed.","language language_dir is_rtl and trans_languages filters","","","supporting","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_translation"
"translated_text","data_type","Translated text","A text value containing alternatives for multiple languages.","text","translatable string|multilingual text","Covers translation lookup fallback filled-language checks and language-specific values.","Covers titles summaries and body text maintained in more than one language.","translation translated_texts and trans_filter_filled filters","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_translation"
"erlang_otp","technology","Erlang/OTP","The programming language runtime libraries and design principles used by Zotonic server applications.","","Erlang|OTP|BEAM","Covers modules processes supervision applications pattern matching and concurrency.","Relevant when technical behavior or operations depend on concurrent server processes.","all Zotonic Erlang applications","","","core","https://www.erlang.org/doc/system/design_principles.html"
"postgresql","technology","PostgreSQL","The relational database management system used for persistent Zotonic site data.","","Postgres|SQL","Covers schemas queries transactions indexes constraints and migrations.","Stores content users settings relations forms and operational records.","z_db and Zotonic site schemas","Q192490","PostgreSQL","core","https://www.wikidata.org/wiki/Q192490"
"html","technology","HTML","The markup language used for rendered web pages email and template output.","","HyperText Markup Language","Covers elements attributes escaping semantics and response rendering.","Defines the structure of public pages administration screens and rich content.","templates controllers and HTML filters","Q8811","HTML","core","https://www.wikidata.org/wiki/Q8811"
"javascript","technology","JavaScript","The browser programming language used for client behavior and integration.","","JS|ECMAScript","Covers event handlers Cotonic workers DOM behavior and client APIs.","Drives interactive editing controls previews and live page updates.","zotonic_mod_wires zotonic_mod_base browser assets","Q2005","JavaScript","core","https://www.wikidata.org/wiki/Q2005"
"json","technology","JSON","A text format for structured data exchange.","","JavaScript Object Notation","Covers encoding decoding API payloads model results and configuration values.","Appears in imported exported or integrated content data.","API MQTT and template filter docs","Q2063","JSON","core","https://www.wikidata.org/wiki/Q2063"
"xml","technology","XML","A markup format used by some imports exports feeds and external services.","","Extensible Markup Language","Covers parsing serialization namespaces validation and conversion.","Appears in feeds imported documents and service integrations.","import export and filter docs","Q2115","XML","supporting","https://www.wikidata.org/wiki/Q2115"
"http","technology","HTTP","The application protocol used for web requests responses APIs and downloads.","","HTTPS|web protocol","Covers methods headers status codes content negotiation caching and security.","Underlies every page form link API request and media download.","zotonic_listen_http controller docs","Q8777","Hypertext Transfer Protocol","core","https://www.wikidata.org/wiki/Q8777"
"mqtt","technology","MQTT","A topic-based messaging protocol used by Zotonic for browser and service communication.","","MQTT broker|topic protocol","Covers topic syntax QoS ACL subscriptions payloads and retained messages.","Underlies live interface updates notifications and asynchronous actions.","zotonic_mod_mqtt zotonic_listen_mqtt","Q10322548","MQTT","core","https://www.wikidata.org/wiki/Q10322548"
"semantic_web","technology","Semantic Web","Web standards and practices that give published data explicit machine-readable meaning.","","semantic data|knowledge graph","Covers stable identifiers vocabularies graph semantics and interoperable descriptions.","Explains how categories properties and relationships preserve meaning beyond one page or site.","resource model predicates edges RDF and JSON-LD documentation","Q54837","Semantic Web","core","https://www.wikidata.org/wiki/Q54837"
"rdf_and_linked_data","technology","RDF and Linked Data","Standards for representing resources and typed relationships as a semantic graph.","semantic_web","RDF|Linked Data","Covers triples identifiers vocabularies graph export and semantic interoperability.","Provides a shared meaning for content types metadata and relationships.","m_rsc m_edge mod_export","Q54872","Resource Description Framework","core","https://www.wikidata.org/wiki/Q54872"
"json_ld","technology","JSON-LD","A JSON syntax for serializing Linked Data.","rdf_and_linked_data","JSON Linked Data","Covers contexts identifiers types predicates and structured-data output.","Supports machine-readable page metadata and content exchange.","semantic data and export documentation","Q6108942","JSON-LD","supporting","https://www.wikidata.org/wiki/Q6108942"
"oauth_2_0","technology","OAuth 2.0","An authorization framework for delegated access to HTTP services.","","OAuth2|bearer token","Covers clients grants redirects scopes tokens and protected APIs.","Relevant when a site connects accounts or permits external applications to act.","mod_oauth2 mod_oauth2_facebook mod_oauth2_microsoft","Q97371579","OAuth 2","core","https://www.wikidata.org/wiki/Q97371579"
"tls_and_certificates","technology","TLS and certificates","Protocols and credentials used to authenticate endpoints and encrypt network transport.","","TLS|SSL|HTTPS certificate","Covers certificate issuance renewal trust verification and listener configuration.","Protects logins administration pages forms APIs and visitor traffic.","mod_ssl_ca zotonic_listen_http","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_ssl_ca"
"dkim","technology","DKIM","An email authentication mechanism that signs outgoing messages for domain verification.","","DomainKeys Identified Mail","Covers key selection canonicalization signing DNS publication and verification.","Helps newsletters and notifications reach recipients with trustworthy domain identity.","mod_email_dkim","Q2605645","DomainKeys Identified Mail","supporting","https://www.wikidata.org/wiki/Q2605645"
"oembed","technology","oEmbed","A protocol for discovering and retrieving embeddable representations of external URLs.","","embedded media|embed provider","Covers provider discovery requests caching sanitization and media creation.","Supports adding external videos posts and other embeddable content by URL.","mod_oembed mod_video_embed","","","supporting","https://oembed.com/"
"security","quality","Security","Protection of systems content identities and communications against unauthorized action or harm.","","information security|cybersecurity","Apply to threat boundaries input validation secrets cryptography ACL and secure defaults.","Apply when guidance affects account safety content integrity or trusted administration.","authentication ACL ClamAV OAuth TLS and security headers","","","core","https://github.com/zotonic/zotonic/tree/master/apps"
"privacy","quality","Privacy","Responsible handling and disclosure of personal or sensitive information.","","data protection|confidentiality","Apply to collection storage logs access retention consent and third-party sharing.","Apply when content workflows involve visitor choices identities or personal data.","mod_cookie_consent identity logging and access-control docs","Q188728","privacy","core","https://www.wikidata.org/wiki/Q188728"
"accessibility","quality","Accessibility","Design and implementation that lets people with varied abilities perceive operate and understand content and interfaces.","","a11y|inclusive design","Apply to semantic HTML keyboard behavior focus labels media alternatives and contrast.","Apply when authoring structure link text captions alternative text and understandable forms.","templates forms media and administration UI docs","","","core","https://www.w3.org/WAI/fundamentals/accessibility-intro/"
"performance","quality","Performance","Efficient use of time memory storage network and computation under expected load.","","speed|latency|throughput","Apply to caching queries rendering media processing queues and concurrency.","Apply when page speed search freshness uploads or bulk operations affect editorial work.","cache pivot database media and task documentation","","","core","https://github.com/zotonic/zotonic/tree/master/apps"
"reliability","quality","Reliability","Consistent correct operation in the presence of failures retries and changing load.","","resilience|fault tolerance|availability","Apply to supervision transactions idempotency queues recovery and operational state.","Apply when guidance protects saved work delivery continuity or predictable publishing.","OTP supervision backup email queues filestore and task docs","","","core","https://www.erlang.org/doc/system/design_principles.html"
"interoperability","quality","Interoperability","The ability to exchange data and behavior with other systems while preserving meaning.","","compatibility|open standards","Apply to APIs protocols formats identifiers vocabularies and versioning.","Apply when content is imported embedded syndicated or shared across services.","HTTP MQTT JSON RDF OAuth import export and oEmbed docs","","","core","https://github.com/zotonic/zotonic/tree/master/apps"
"maintainability","quality","Maintainability","Ease of understanding changing testing and operating a Zotonic implementation over time.","","code quality|operability","Apply to modular design documentation tests configuration observability and migrations.","Apply when a site structure or workflow should remain understandable and safe to change.","module architecture development testing configuration and logging docs","","","core","https://github.com/zotonic/zotonic/tree/master/apps"
